DIRECTORIO;P424;P4030;P4030S1;P4030S1A1;P4030S5;P4030S3;P4030S4;P4030S4A1;P4030S2;DIA_REF;REGION;CLASE;F_EXP
1001092;1; ;1;1;1;1;1;1;2;1;3;2;169,4225744
1001094;1; ;1;2;1;1;1;3;1;1;2;1;168,7558187
1001095;1; ;1;1;1;1;1;1;2;1;3;2;115,0453246
1001096;1; ;1;1;2;2;1;1;1;1;2;2;89,95043631
1001097;1; ;1;1;1;1;1;3;1;1;4;1;454,3363454
1001098;1; ;1;2;2;2;1;1;1;1;2;2;41,39296254
1001099;2; ;1;3;1;1;1;3;1;1;3;1;223,7460339
1001100;1; ;1;1;1;1;1;3;1;1;4;1;425,0421553
1001101;1; ;1;2;1;1;1;3;2;1;4;1;85,81336907
1001102;2; ;1;1;1;1;1;3;1;1;4;1;331,8170621
1001103;2; ;1;2;1;1;1;3;1;1;3;1;278,0390206
1001104;1; ;1;1;2;2;1;1;1;2;2;2;163,7030257
1001105;1; ;1;1;2;2;1;1;1;2;2;2;166,6167846
1001106;1; ;1;1;2;2;1;1;1;2;2;2;83,08316206
1001107;1; ;1;1;2;2;1;1;1;2;2;2;183,8747548
1001108;1; ;1;1;2;2;1;1;1;2;2;2;108,1576009
1001110;1; ;1;2;1;1;1;3;2;2;4;1;125,8469678
1001111;2; ;1;2;1;1;1;3;2;2;4;1;163,5800637
1001112;2; ;1;2;1;1;1;3;2;2;4;1;164,6249543
1001113;2; ;1;2;1;1;1;4;1;2;4;1;426,4017806
1001114;2; ;1;3;1;1;1;3;2;2;3;1;76,4352274
1001115;3; ;1;2;1;1;1;3;2;2;4;1;149,5263519
1001116;2; ;1;1;1;1;1;3;1;2;1;1;118,8412868
1001117;2; ;1;3;1;1;1;3;1;2;3;1;206,1172693
1001118;1; ;1;1;1;1;1;3;1;2;1;1;138,4522693
1001119;2; ;1;3;1;1;1;3;1;2;3;1;228,8814253
1001120;1; ;1;1;1;1;1;3;1;3;2;1;140,5968998
1001121;1; ;1;1;1;1;1;3;1;3;2;1;94,17369148
1001122;1; ;1;3;1;1;1;3;1;3;3;1;57,15192064
1001123;2; ;1;1;1;1;1;3;1;3;1;1;131,4750843
1001124;3; ;1;1;1;1;1;2;2;1;4;1;440,0929896
1001125;2; ;1;1;1;1;1;2;2;1;4;1;539,8473123
1001126;2; ;1;1;1;1;1;2;2;1;4;1;472,1860166
1001127;2; ;1;2;1;1;1;3;1;1;3;1;512,1648475
1001129;2; ;1;3;1;1;1;3;1;6;5;1;679,7804124
1001130;2; ;1;4;1;1;1;7;1;2;2;1;257,8964715
1001131;3; ;1;2;1;1;1;3;1;2;5;1;341,1666993
1001132;1; ;1;5;1;1;1;3;1;2;1;1;181,3744431
1001133;2; ;1;2;1;1;1;3;1;3;1;1;241,1681797
1001134;1; ;1;1;1;1;1;3;2;3;4;1;91,77205582
1001135;1; ;1;1;1;1;1;2;2;4;4;1;799,1228091
1001136;1; ;1;1;1;1;1;2;2;4;4;1;896,2196049
1001137;1; ;1;1;1;1;1;2;2;4;4;1;641,4717012
1001138;2; ;1;1;1;1;1;3;1;5;5;1;288,064482
1001141;2; ;1;5;1;1;1;3;1;5;1;1;140,9039121
1001142;1; ;1;5;1;1;1;3;1;5;1;1;143,3057444
1001143;1; ;1;5;1;1;1;3;1;5;1;1;162,8772877
1001144;3; ;1;1;1;1;1;2;2;6;4;1;1066,366935
1001146;1; ;1;1;1;1;1;2;2;6;4;1;571,8784619
1001147;1; ;1;2;1;1;1;3;1;6;1;1;356,9957984
1001148;2; ;1;2;1;1;1;2;1;7;2;1;136,2426008
1001151;2; ;1;1;1;1;1;3;1;1;1;1;261,8521126
1001181;1; ;1;1;1;1;1;2;1;1;4;1;347,715742
1001182;2; ;1;2;1;1;1;3;1;1;1;1;85,25786001
1001183;3; ;1;1;1;1;1;2;2;1;4;1;442,1108367
1001184;2; ;1;3;1;1;1;3;1;3;5;1;140,5003422
1001186;1; ;1;1;1;2;2; ;2;2;1;2;577,4099972
1001187;1; ;1;1;1;2;2; ;2;2;1;2;387,2768961
1001188;1; ;1;1;1;2;2; ;2;2;1;2;516,4953552
1001189;1; ;1;1;1;2;2; ;2;2;1;2;800,7812664
1001190;1; ;1;1;1;2;2; ;2;2;1;2;641,4280496
1001191;1; ;1;1;1;2;2; ;2;2;1;2;417,2225803
1001194;1; ;1;2;1;1;1;3;1;2;1;1;472,2510866
1001195;2; ;1;2;1;1;1;3;1;2;1;1;345,0934161
1001196;1; ;1;2;1;1;1;3;1;2;1;1;418,621405
1001197;2; ;1;2;1;1;1;3;1;2;5;1;408,9067494
1001198;2; ;1;1;1;1;1;3;1;2;1;1;307,4249922
1001199;1; ;1;1;1;1;1;3;1;4;5;1;316,3934064
1001200;3; ;1;2;1;1;1;3;1;2;5;1;499,5423351
1001202;1; ;1;1;1;1;1;3;1;1;5;1;486,0902671
1001203;1; ;1;1;1;1;1;3;1;1;5;1;440,3873291
1001206;2; ;1;1;1;1;1;3;1;1;5;1;463,3436152
1001207;1; ;1;2;1;1;1;3;1;3;5;1;249,9167968
1001208;1; ;1;1;1;1;1;3;2;1;5;1;361,4018602
1001209;1; ;1;1;1;2;2; ;2;3;1;2;433,1682578
1001210;1; ;1;1;1;2;2; ;2;3;1;2;361,0580022
1001211;1; ;1;1;1;2;2; ;2;3;1;2;553,3510393
1001212;1; ;1;1;1;2;2; ;2;3;1;2;449,3656591
1001213;2; ;1;1;1;1;1;3;1;3;1;1;350,704245
1001214;1; ;1;1;1;2;2; ;2;3;1;2;534,1080964
1001215;1; ;1;1;1;2;2; ;2;3;1;2;266,3067919
1001217;1; ;1;1;1;2;2; ;2;3;1;2;266,3067919
1001218;1; ;1;2;1;1;1;3;1;3;5;1;404,9286055
1001219;2; ;1;2;1;1;1;3;1;3;5;1;326,9731648
1001220;1; ;1;2;1;1;1;3;1;3;3;1;212,7656516
1001221;2; ;1;1;1;1;1;3;1;3;1;1;415,6330375
1001222;1; ;1;1;1;2;2; ;2;4;1;2;649,5148923
1001223;1; ;1;1;1;2;2; ;2;4;1;2;353,6605214
1001224;1; ;1;1;1;2;2; ;2;4;1;2;416,1847525
1001225;2; ;1;1;1;1;1;3;1;4;1;1;596,6644676
1001226;2; ;1;2;1;1;1;3;1;3;1;1;354,544631
1001227;1; ;1;1;1;2;2; ;2;4;1;2;733,424606
1001228;1; ;1;1;1;2;2; ;2;4;1;2;594,7425727
1001229;1; ;1;1;1;2;2; ;2;4;1;2;333,7112827
1001230;1; ;1;1;1;2;1;3;2;4;1;1;370,0567877
1001231;3; ;1;1;1;1;1;2;2;4;4;2;939,7419174
1001232;1; ;1;1;1;1;1;1;2;4;4;2;1293,399666
1001233;1; ;1;1;1;1;1;1;1;4;4;2;631,6631652
1001234;1; ;1;2;1;1;1;3;1;4;1;1;492,0417075
1001235;1; ;1;1;1;1;1;2;2;4;4;2;527,7659763
1001236;1; ;1;1;2;2;2; ;2;4;1;2;605,3729139
1001237;1; ;1;1;1;1;1;1;2;4;4;2;1005,322504
