DIRECTORIO;P424;P4030;P4030S1;P4030S1A1;P4030S5;P4030S3;P4030S4;P4030S4A1;P4030S2;DIA_REF;REGION;CLASE;F_EXP
1026672;2; ;1;3;1;1;1;7;1;7;2;1;155,2378001
1026675;2; ;1;1;1;1;1;3;1;7;5;1;363,3174634
1026676;1; ;1;1;1;1;1;3;1;7;5;1;295,3525381
1026677;1; ;1;1;1;1;1;3;1;7;5;1;358,607728
1026678;2; ;1;1;1;1;1;3;1;7;5;1;400,3184663
1026682;2; ;1;3;1;1;1;3;1;1;5;1;532,1806649
1026694;2; ;1;3;1;1;1;3;1;6;5;1;174,6775211
1026695;1; ;1;1;1;1;1;3;1;1;5;1;607,7744425
1026696;2; ;1;1;1;1;1;3;1;1;5;1;653,731573
1026697;3; ;1;3;1;1;1;7;1;1;2;1;307,8130477
1026699;3; ;1;4;1;1;1;7;2;1;2;1;307,8130477
1026700;3; ;1;3;1;1;1;7;2;1;2;1;307,8130477
1026701;2; ;1;2;1;1;1;3;1;1;5;1;496,1500275
1026702;2; ;1;2;1;1;1;3;1;1;5;1;601,1033764
1026703;2; ;1;2;1;1;1;3;1;1;5;1;584,3601097
1026704;2; ;1;4;1;1;1;3;1;2;5;1;864,7935805
1026707;1; ;1;3;1;1;1;3;1;2;5;1;1137,562663
1026709;1; ;1;1;1;1;1;3;1;2;5;1;798,2252662
1026711;2; ;1;4;1;1;1;3;1;2;5;1;918,2432008
1026712;3; ;1;3;1;1;1;7;1;2;2;1;232,8726477
1026713;3; ;1;3;1;1;1;7;1;2;2;1;272,3325181
1026714;2; ;1;3;1;1;1;3;1;3;5;1;1214,072921
1026716;3; ;1;3;1;1;1;7;1;3;2;1;303,4736805
1026717;3; ;1;3;1;1;1;7;2;3;2;1;259,5015828
1026718;1; ;1;1;1;1;1;3;1;3;5;1;1365,204811
1026719;1; ;1;1;1;1;1;3;1;3;5;1;1114,922555
1026721;1; ;1;6;1;1;1;2;1;4;2;2;1029,821222
1026722;1; ;1;6;1;1;1;2;1;4;2;2;555,578381
1026724;2; ;1;6;1;1;1;2;2;4;2;2;920,8571817
1026726;1; ;1;1;1;1;1;3;1;4;5;1;473,9543272
1026727;1; ;1;6;1;1;1;2;1;5;2;2;125,1112205
1026728;1; ;1;6;1;1;1;2;1;5;2;2;155,7303038
1026729;1; ;1;6;1;1;1;2;1;5;2;2;173,2070279
1026735;1; ;1;1;1;1;1;3;1;6;5;1;163,7639506
1026736;1; ;1;1;1;1;1;3;1;6;5;1;175,7328522
1026737;1; ;1;1;1;1;1;3;1;6;5;1;173,9067643
1026738;1; ;1;1;1;1;1;3;1;6;5;1;174,9471769
1026739;2; ;1;3;1;1;1;3;1;6;5;1;248,8576934
1026740;2; ;1;3;1;1;1;3;1;6;5;1;194,9433503
1026741;2; ;1;3;1;1;1;3;1;6;5;1;194,9433503
1026742;1; ;1;6;1;1;1;2;1;6;2;2;180,5181469
1026745;1; ;1;6;1;1;1;2;1;6;2;2;187,4330313
1026750;2; ;1;2;1;1;1;3;1;7;3;1;422,2953013
1026753;2; ;1;2;1;1;1;3;1;7;3;1;418,0197224
1026754;1; ;1;2;1;1;1;3;1;7;3;1;351,5624491
1026755;2; ;1;2;1;1;1;3;2;7;3;1;443,7065958
1026762;3; ;1;2;1;1;1;3;1;4;5;1;148,3854185
1026763;2; ;1;3;1;1;1;3;1;4;5;1;148,3854185
1026764;1; ;1;3;1;1;1;3;1;4;5;1;148,3854185
1026765;2; ;1;1;1;1;1;3;1;4;5;1;153,5973002
1026766;2; ;1;2;1;1;1;3;1;7;4;1;754,485499
1026767;1; ;1;1;1;1;1;3;1;2;5;1;273,973862
1026769;1; ;1;1;2;2;2; ;2;6;3;2;438,0655351
1026771;1; ;1;1;2;2;2; ;2;2;3;2;453,617582
1026772;1; ;1;1;2;2;2; ;2;2;3;2;708,8544364
1026773;2; ;1;2;1;1;1;2;2;2;3;1;743,8771536
1026775;1; ;1;2;1;1;1;3;1;7;4;1;218,6383414
1026776;2; ;1;2;1;1;1;3;1;1;5;1;302,3995776
1026777;1; ;1;2;1;1;1;3;1;7;4;1;217,5420122
1026778;2; ;1;2;1;1;1;3;1;2;4;1;348,1909275
1026781;1; ;1;3;1;1;1;3;1;6;5;1;482,4662439
1026782;1; ;1;2;1;1;1;3;1;7;5;1;360,2270741
1026783;1; ;1;2;1;1;1;3;1;7;5;1;339,4710714
1026784;2; ;1;3;1;1;1;3;1;1;5;1;408,1080892
1026787;1; ;1;2;1;1;1;3;1;7;5;1;327,807806
1026788;2; ;1;1;1;1;1;2;1;1;4;1;601,2632978
1026789;1; ;1;2;1;1;1;3;1;1;3;1;345,1203791
1026790;2; ;1;2;1;1;1;3;1;1;5;1;566,8425238
1026796;2; ;1;3;1;1;1;3;1;5;5;1;262,4079469
1026797;2; ;1;2;1;1;1;3;1;5;5;1;277,2905287
1026799;1; ;1;5;1;1;1;3;1;2;4;1;397,9427052
1026800;1; ;1;2;1;1;1;3;1;2;5;1;641,2560694
1026801;1; ;1;2;1;1;1;3;1;2;5;1;548,7512709
1026802;2; ;1;2;1;1;1;3;1;2;5;1;839,2416969
1026805;1; ;1;2;1;1;1;3;1;3;5;1;336,0948489
1026807;2; ;1;3;1;1;1;2;1;4;5;1;298,6505057
1026808;1; ;1;3;1;1;1;3;1;4;5;1;352,1329017
1026810;2; ;1;2;1;1;1;3;1;4;5;1;298,4074318
1026811;2; ;1;2;1;1;1;3;1;4;5;1;312,0442441
1026812;2; ;1;3;1;1;1;3;1;4;5;1;349,3773794
1026813;2; ;1;3;1;1;1;3;1;4;5;1;254,7879595
1026816;1; ;1;2;1;1;1;3;1;5;5;1;355,4067626
1026817;2; ;1;2;1;1;1;3;1;5;5;1;208,9140358
1026819;2; ;1;2;1;1;1;3;1;5;5;1;242,3151107
1026820;2; ;1;3;1;1;1;3;1;5;4;1;295,969021
1026822;2; ;1;3;1;1;1;3;1;6;5;1;244,9934234
1026823;1; ;1;3;1;1;1;3;1;6;5;1;237,6786543
1026824;1; ;1;2;1;1;1;3;1;6;5;1;196,0954489
1026825;2; ;1;3;1;1;1;3;1;6;5;1;169,5820154
1026826;2; ;1;3;1;1;1;3;1;6;5;1;220,3017762
1026827;2; ;1;3;1;1;1;3;1;6;5;1;171,1861366
1026828;2; ;1;2;1;1;1;3;1;6;5;1;268,5043534
1026829;1; ;1;1;2;2;1;1;1;6;3;2;364,2309344
1026830;2; ;1;2;1;1;1;3;1;6;5;1;202,5019167
1026831;1; ;1;2;1;1;1;3;1;6;5;1;207,3480005
1026832;2; ;1;2;1;1;1;3;1;6;5;1;268,5043534
1026833;1; ;1;1;1;1;1;3;1;6;3;1;389,7067106
1026834;2; ;1;2;1;1;1;3;1;6;5;1;186,7547924
1026836;2; ;1;2;1;1;1;3;1;6;5;1;218,2758889
1026837;1; ;1;1;2;2;2; ;2;7;3;2;466,6789944
1026839;2; ;1;3;1;1;1;3;1;7;5;1;531,2816978
1026840;2; ;1;3;1;1;1;3;1;7;5;1;332,1478083
1026841;1; ;1;3;1;1;1;3;1;7;5;1;326,4715019
1026842;2; ;1;3;1;1;1;3;1;7;5;1;501,5268103
1026843;2; ;1;3;1;1;1;3;1;7;5;1;435,2052076
1026845;2; ;1;3;1;1;1;3;1;7;5;1;384,8534112
1026846;2; ;1;3;1;1;1;3;1;7;5;1;329,9457612
1026847;2; ;1;3;1;1;1;3;1;7;5;1;406,6185218
1026849;2; ;1;3;1;1;1;3;1;3;5;1;300,5441248
1026850;2; ;1;3;1;1;1;3;1;8;5;1;271,0900414
1026851;2; ;1;3;1;1;1;3;1;8;5;1;389,8858806
1026852;1; ;1;2;1;1;1;2;2;8;3;2;373,3006549
1026853;1; ;1;2;1;1;1;2;2;8;3;2;300,6487145
1026854;2; ;1;2;1;1;1;3;1;8;5;1;240,9916583
1026855;2; ;1;3;1;1;1;3;1;8;5;1;246,4108378
1026859;2; ;1;3;1;1;1;3;1;2;5;1;459,6672878
1026860;2; ;1;3;1;1;1;3;1;2;5;1;379,4088445
1026861;2; ;1;3;1;1;1;3;1;2;5;1;374,3632072
1026862;2; ;1;3;1;1;1;3;1;2;5;1;379,0656814
1026863;2; ;1;3;1;1;1;3;1;2;5;1;377,2067974
1026865;1; ;1;1;1;1;1;2;2;3;3;2;1092,692803
1026866;2; ;1;3;1;1;1;3;1;3;5;1;325,6113851
1026867;2; ;1;3;1;1;1;3;1;3;5;1;339,7540823
1026868;2; ;1;3;1;1;1;3;1;3;5;1;347,5077114
1026869;2; ;1;3;1;1;1;3;1;3;5;1;351,628373
1026870;1; ;1;3;1;1;1;3;1;3;5;1;377,6897184
1026871;2; ;1;2;1;1;1;3;1;3;5;1;270,6215687
1026872;2; ;1;3;1;1;1;3;1;3;5;1;364,5677003
1026876;1; ;1;2;1;1;1;3;1;4;4;1;245,4971333
1026878;2; ;1;3;1;1;1;3;1;4;5;1;408,1080892
1026879;1; ;1;1;1;1;1;2;2;5;3;2;333,4111641
1026880;2; ;1;3;1;1;1;3;1;4;5;1;460,8046544
1026881;2; ;1;2;1;1;1;3;1;4;5;1;464,7574291
1026882;2; ;1;3;1;1;1;3;1;4;5;1;399,4022081
1026883;2; ;1;3;1;1;1;3;1;4;5;1;434,1302163
1026884;2; ;1;2;1;1;1;3;1;5;5;1;269,4601342
1026886;2; ;1;4;1;1;1;3;1;5;4;1;210,7872425
1026887;2; ;1;2;1;1;1;3;1;5;4;1;140,9829173
1026888;2; ;1;3;1;1;1;3;1;5;5;1;225,6037238
1026889;2; ;1;2;1;1;1;3;1;5;5;1;295,0645204
1026890;2; ;1;2;1;1;1;3;1;5;5;1;244,7131763
1026891;2; ;1;2;1;1;1;3;1;5;5;1;238,3625817
1026892;2; ;1;3;1;1;1;3;1;5;5;1;224,3128686
1026893;2; ;1;2;1;1;1;3;1;5;5;1;255,1202941
1026894;2; ;1;3;1;1;1;3;1;6;5;1;188,2148939
1026895;2; ;1;3;1;1;1;3;1;6;5;1;213,2182618
1026896;2; ;1;3;1;1;1;3;1;6;4;1;228,5874115
1026897;2; ;1;3;1;1;1;3;1;6;5;1;186,4647557
1026898;2; ;1;2;1;1;1;3;1;6;5;1;258,017229
1026899;2; ;1;2;1;1;1;3;1;6;5;1;196,9893612
1026900;2; ;1;1;1;1;1;3;1;6;5;1;273,4459741
1026902;2; ;1;2;1;1;1;3;1;6;5;1;206,2977425
1026903;2; ;1;2;1;1;1;3;1;6;5;1;227,9704335
1026904;2; ;1;2;1;1;1;3;1;6;5;1;245,4159914
1026905;2; ;1;3;1;1;1;3;1;6;5;1;172,8199325
1026908;2; ;1;3;1;1;1;2;1;6;5;1;198,1565289
1026909;2; ;1;3;1;1;1;6;2;7;5;1;280,4448197
1026910;2; ;1;2;1;1;1;3;1;7;5;1;274,187505
1026911;1; ;1;2;1;1;1;3;1;7;5;1;335,3134622
1026913;2; ;1;1;1;1;1;3;1;7;5;1;389,8249776
1026914;1; ;1;1;1;1;1;3;1;7;5;1;205,351146
1026915;2; ;1;2;1;1;1;3;1;7;5;1;353,364925
1026916;2; ;1;2;1;1;1;3;1;7;5;1;353,364925
1026917;2; ;1;1;1;1;1;3;1;7;5;1;202,1035097
1026918;2; ;1;3;1;1;1;3;1;7;5;1;197,9185603
1026919;2; ;1;3;1;1;1;3;1;7;5;1;298,1933491
1026922;1; ;1;3;1;1;1;3;1;7;5;1;332,9930225
1026924;2; ;1;2;1;1;1;3;1;8;5;1;355,8389005
1026925;2; ;1;3;1;1;1;3;1;8;5;1;288,1030511
1026926;2; ;1;3;1;1;1;3;1;8;5;1;311,0672468
1026927;2; ;1;3;1;1;1;3;1;8;5;1;352,3175517
1026930;2; ;1;3;1;1;1;3;1;2;5;1;278,7987773
1026931;1; ;1;4;1;1;1;3;1;2;5;1;329,9509595
1026932;1; ;1;4;1;1;1;3;1;6;5;1;221,2004758
1026933;2; ;1;1;1;1;1;3;1;2;5;1;316,4108254
1026934;1; ;1;4;1;1;1;3;1;2;5;1;213,9702756
1026935;1; ;1;4;1;1;1;3;1;2;5;1;237,5936687
1026937;1; ;1;4;1;1;1;3;1;2;5;1;278,5762356
1026938;1; ;1;4;1;1;1;3;1;2;5;1;386,6988026
1026939;1; ;1;4;1;1;1;3;1;2;5;1;238,4471295
1026940;2; ;1;1;1;1;1;3;1;3;5;1;348,8947445
1026942;1; ;1;3;1;1;1;3;1;3;5;1;294,6430516
1026943;2; ;1;2;1;1;1;3;1;3;5;1;359,7712263
1026947;1; ;1;3;1;1;1;3;1;3;5;1;314,8145439
1026948;1; ;1;1;1;1;1;3;1;3;5;1;381,4089989
1026951;2; ;1;1;1;1;1;3;1;4;5;1;411,9490815
1026954;1; ;1;2;1;1;1;3;1;4;5;1;384,8534112
1026955;2; ;1;1;1;1;1;3;1;4;5;1;487,9108105
1026958;2; ;1;2;1;1;1;3;1;5;5;1;238,5476742
1026959;1; ;1;4;1;1;1;3;1;5;5;1;355,8664681
1026961;1; ;1;4;1;1;1;3;1;5;5;1;260,2437082
1026962;1; ;1;2;1;1;1;3;1;5;5;1;252,5196533
1026965;2; ;1;1;1;1;1;3;1;5;5;1;238,0637712
1026966;2; ;1;1;1;2;1;3;1;5;1;1;286,2182289
1026967;2; ;1;2;1;1;1;3;1;6;5;1;244,7280648
1026968;2; ;1;3;1;1;1;3;1;7;5;1;89,73024069
1026969;2; ;1;2;1;1;1;3;1;6;5;1;289,0172436
1026970;1; ;1;2;1;1;1;3;1;6;5;1;286,7072844
1026971;2; ;1;2;1;1;1;3;1;6;5;1;204,3456681
1026972;1; ;1;3;1;1;1;3;1;6;5;1;200,6917404
1026973;1; ;1;3;1;1;1;3;1;6;5;1;235,0702594
1026974;1; ;1;3;1;1;1;3;1;6;5;1;274,9141786
1026977;2; ;1;3;1;1;1;3;1;6;5;1;226,9071468
1026978;1; ;1;2;1;1;1;3;1;7;5;1;109,7214537
1026979;2; ;1;3;1;1;1;3;1;7;5;1;119,4170087
1026980;2; ;1;3;1;1;1;3;1;7;5;1;93,91203735
1026981;1; ;1;2;1;1;1;3;1;7;5;1;109,8034271
1026982;2; ;1;3;1;1;1;3;1;7;5;1;127,8396449
1026983;2; ;1;2;1;1;1;3;1;7;5;1;113,6410198
1026984;2; ;1;3;1;1;1;3;1;7;5;1;97,13135649
1026985;2; ;1;2;1;1;1;3;1;7;5;1;99,71918659
1026986;2; ;1;3;1;1;1;3;1;7;5;1;91,74124188
1026987;2; ;1;2;1;1;1;3;1;7;5;1;84,80154124
1026988;2; ;1;3;1;1;1;3;1;7;5;1;91,93219658
1026989;2; ;1;2;1;1;1;3;1;7;5;1;106,1619821
1026990;2; ;1;3;1;1;1;3;1;7;5;1;109,8034271
1026991;2; ;1;3;1;1;1;3;1;7;5;1;78,73411007
1026992;2; ;1;4;1;1;1;3;1;7;5;1;97,13135649
1026994;2; ;1;2;1;1;1;3;1;7;5;1;119,4170087
1026995;2; ;1;4;1;1;1;3;1;7;5;1;97,21332989
1026998;2; ;1;3;1;1;1;3;1;7;5;1;78,73411007
1026999;2; ;1;3;1;1;1;3;1;7;5;1;106,9365418
1027001;2; ;1;3;1;1;1;3;1;1;5;1;369,5004543
1027003;2; ;1;5;1;1;1;3;1;1;5;1;308,5513962
1027004;2; ;1;4;1;1;1;3;1;1;5;1;300,5441248
1027011;1; ;1;3;1;1;1;3;1;4;5;1;680,2677718
1027012;2; ;1;3;1;1;1;3;1;4;5;1;575,9950027
1027017;2; ;1;3;1;1;1;3;1;6;5;1;72,90349789
1027018;2; ;1;2;1;1;1;3;1;6;5;1;80,12968486
1027019;2; ;1;3;1;1;1;3;1;6;5;1;83,15580905
1027020;2; ;1;2;1;1;1;3;1;6;5;1;119,7865301
1027021;2; ;1;2;1;1;1;3;1;6;5;1;129,0255552
1027022;2; ;1;3;1;1;1;3;1;6;5;1;105,6093537
1027023;2; ;1;2;1;1;1;3;1;6;5;1;120,7312806
1027024;2; ;1;3;1;1;1;3;1;6;5;1;102,7034249
1027025;2; ;1;4;1;1;1;3;1;6;5;1;108,5240204
1027026;2; ;1;3;1;1;1;3;1;6;5;1;98,83355205
1027027;2; ;1;4;1;1;1;3;1;6;5;1;95,70305501
1027030;2; ;1;2;1;1;1;3;1;6;5;1;98,75021243
1027031;2; ;1;4;1;1;1;3;1;6;5;1;87,35587182
1027034;2; ;1;4;1;1;1;3;1;6;5;1;121,3239525
1027035;1; ;1;3;1;1;1;3;1;7;5;1;197,418935
1027038;2; ;1;2;1;1;1;3;1;7;5;1;366,0587233
1027042;2; ;1;4;1;1;1;3;1;1;5;1;531,7319131
1027043;2; ;1;4;1;1;1;3;1;1;5;1;545,4498722
1027070;1; ;1;2;1;1;1;3;1;7;3;1;315,759586
1027074;2; ;1;3;1;1;1;3;1;1;3;1;581,4136681
1027075;1; ;1;1;1;1;1;3;2;2;3;1;651,358447
1027077;1; ;1;2;1;1;1;3;1;3;1;1;294,6399184
1027083;1; ;1;3;1;1;1;3;1;5;2;1;155,6232101
1027086;2; ;1;3;1;1;1;3;1;6;1;1;352,1155412
1027088;1; ;1;3;1;1;1;3;1;6;2;1;196,5914514
1027090;1; ;1;3;1;1;1;3;1;7;2;1;206,455692
1027091;2; ;1;1;1;1;2; ;1;7;1;1;138,6189907
1027092;1; ;1;1;1;1;1;3;1;7;1;1;125,2957892
1027093;1; ;1;3;1;1;1;3;1;7;2;1;276,974325
1027095;2; ;1;1;1;1;1;4;1;7;1;1;137,651903
1027097;1; ;1;1;1;2;2; ;2;7;1;2;447,1314966
1027098;1; ;1;1;1;2;2; ;2;7;1;2;654,0322326
1027099;2; ;1;2;1;1;1;3;1;7;3;1;316,3083754
1027100;2; ;1;2;1;1;1;3;1;7;3;1;494,5365839
1027105;2; ;1;3;1;1;1;2;1;7;2;1;249,4385128
1027106;2; ;1;3;1;1;1;2;1;7;2;1;195,6351126
1027108;2; ;1;4;1;1;1;3;1;7;1;1;134,5068601
1027109;2; ;1;3;1;1;1;2;2;1;3;1;188,8116531
1027110;1; ;1;3;1;1;1;2;1;1;3;1;206,2629472
1027111;1; ;1;1;1;2;2; ;2;1;1;2;296,2712354
1027113;1; ;1;3;1;1;1;2;1;1;3;1;199,6834471
1027114;1; ;1;1;1;1;1;3;1;1;1;1;127,2531582
1027115;2; ;1;1;1;1;2; ;1;1;1;1;118,7317006
1027117;1; ;1;1;1;2;2; ;2;1;1;2;414,5855798
1027118;1; ;1;3;1;1;1;3;1;7;1;1;128,2191677
1027120;1; ;1;1;1;2;2; ;2;1;1;2;253,1767421
1027122;1; ;1;4;1;1;1;3;1;1;1;1;218,5296419
1027126;2; ;1;2;1;1;1;3;1;1;3;1;200,6193506
1027128;1; ;1;2;1;1;1;3;1;1;3;1;140,9851978
1027132;1; ;1;2;1;1;1;3;1;1;3;1;198,0049837
1027133;2; ;1;2;1;1;1;2;1;1;3;1;219,0429204
1027134;2; ;1;3;1;1;1;3;1;5;1;1;121,125122
1027135;2; ;1;2;1;1;1;3;1;1;3;1;131,045098
1027137;1; ;1;1;2;2;2; ;2;2;1;2;241,3618275
1027138;1; ;1;1;1;2;2; ;2;2;1;2;232,2708711
1027139;1; ;1;1;1;2;2; ;2;2;1;2;187,8765589
1027141;1; ;1;4;1;1;1;3;1;2;1;1;172,0180608
1027142;1; ;1;3;1;1;1;3;1;7;1;1;127,2864658
1027144;2; ;1;3;1;1;1;3;1;2;1;1;145,3731111
1027145;1; ;1;3;1;1;1;3;1;1;1;1;146,4358826
1027147;2; ;1;3;1;1;1;2;1;2;2;1;360,1277413
1027148;1; ;1;3;1;1;1;3;1;2;1;1;153,7178163
1027149;1; ;1;3;1;1;1;3;1;2;2;1;231,9249013
1027150;2; ;1;2;1;1;1;3;1;2;3;1;232,4285154
1027153;1; ;1;3;1;1;1;2;1;2;3;1;257,6183121
1027154;1; ;1;3;1;1;1;2;1;2;3;1;300,1123925
1027155;1; ;1;2;1;1;1;3;1;2;3;1;286,8396351
1027156;1; ;1;3;1;1;1;2;1;2;3;1;255,5372969
1027157;2; ;1;3;1;1;1;2;1;2;3;1;299,0483324
1027158;2; ;1;2;1;1;1;3;1;2;3;1;265,270268
1027159;1; ;1;3;1;1;1;3;1;2;1;1;171,9526672
1027161;1; ;1;3;1;1;1;2;1;3;2;1;165,5464483
1027162;1; ;1;1;2;2;2; ;2;3;2;1;165,1070622
1027163;2; ;1;1;1;2;2; ;2;3;2;1;263,7326712
1027164;1; ;1;1;1;2;2; ;2;3;2;1;169,9143638
1027166;2; ;1;1;1;2;2; ;2;3;2;1;258,8824745
1027167;2; ;1;1;1;1;1;3;1;3;1;1;205,2654249
1027168;2; ;1;2;1;1;1;3;1;3;3;1;215,3664291
1027170;1; ;1;4;1;1;1;3;1;3;1;1;157,5469322
1027171;2; ;1;2;1;1;1;3;1;3;3;1;260,7794964
1027172;2; ;1;2;1;1;1;3;1;3;3;1;283,7142109
1027174;2; ;1;2;1;1;1;2;1;3;3;1;292,3334709
1027175;2; ;1;2;1;1;1;3;1;3;3;1;242,3064884
1027176;1; ;1;1;1;1;1;3;1;8;1;1;148,7953199
1027177;1; ;1;3;1;1;1;2;1;8;3;1;125,0109111
1027179;1; ;1;4;1;1;1;3;1;8;1;1;186,0929682
1027180;1; ;1;3;1;1;1;2;1;8;3;1;95,85679911
1027181;1; ;1;3;1;1;1;3;1;8;2;1;256,8429997
1027182;1; ;1;3;1;1;1;3;1;3;1;1;195,5584311
1027184;2; ;1;2;1;1;1;3;1;8;3;1;127,7539246
1027185;2; ;1;3;1;1;1;3;1;3;1;1;202,8844559
1027188;2; ;1;3;1;1;1;3;1;8;1;1;229,5365435
1027189;1; ;1;1;1;1;1;3;1;8;1;1;139,7687759
1027194;1; ;1;3;1;1;1;3;1;3;1;1;185,0283902
1027195;1; ;1;2;1;1;1;2;1;8;3;1;114,3522473
1027196;1; ;1;3;1;1;1;3;1;3;1;1;146,9374779
1027198;2; ;1;3;1;1;1;3;1;3;1;1;165,4765565
1027199;2; ;1;2;1;1;1;3;1;8;3;1;126,0546791
1027200;1; ;1;2;1;1;1;2;1;8;3;1;128,5796968
1027202;1; ;1;3;1;1;1;2;1;8;1;1;195,2411775
1027204;2; ;1;1;1;1;1;3;1;8;3;1;137,6456861
1027206;2; ;1;2;1;1;1;3;1;8;3;1;141,4994929
1027207;2; ;1;2;1;1;1;3;1;8;3;1;124,6818543
1027208;2; ;1;2;1;1;1;3;1;8;3;1;107,4872547
1027209;2; ;1;2;1;1;1;3;1;8;3;1;102,6579979
1027210;2; ;1;2;1;1;1;3;2;5;3;1;378,9493028
1027211;1; ;1;3;1;1;1;3;1;5;2;1;249,5899188
1027212;1; ;1;2;1;1;1;3;2;5;3;1;337,2897587
1027213;2; ;1;3;1;1;1;3;1;8;1;1;217,5488668
1027214;2; ;1;2;1;1;1;3;2;5;3;1;355,4693128
1027217;1; ;1;3;1;1;1;3;1;5;1;1;122,7323199
1027218;1; ;1;3;1;1;1;3;1;5;1;1;143,1151479
1027220;1; ;1;2;1;1;1;3;2;5;3;1;396,8205675
1027221;2; ;1;3;1;1;1;2;1;5;2;1;243,1494494
1027226;2; ;1;2;1;1;1;3;1;5;3;1;320,5580009
1027228;1; ;1;1;1;1;1;3;2;5;3;1;357,6812498
1027229;2; ;1;3;1;1;1;2;1;6;2;1;326,7744828
1027231;2; ;1;2;1;1;1;3;1;6;3;1;329,4864277
1027232;1; ;1;1;2;1;1;3;2;6;1;1;91,38648077
1027233;1; ;1;1;1;1;1;3;2;6;1;1;73,97269528
1027234;1; ;1;1;2;1;2; ;1;6;1;1;88,5461945
1027235;2; ;1;3;1;1;1;2;1;6;2;1;343,0971473
1027238;2; ;1;1;1;1;1;3;1;6;1;1;99,51001174
1027239;1; ;1;4;1;1;1;3;1;6;1;1;82,10082774
1027240;1; ;1;2;1;1;1;3;2;6;3;1;235,1644187
1027243;1; ;1;3;1;1;1;3;1;6;1;1;106,4109478
1027244;2; ;1;3;1;1;1;3;1;6;1;1;62,27202141
1027246;1; ;1;3;1;1;1;2;1;6;3;1;302,7644685
1027248;2; ;1;2;1;1;1;2;1;6;3;1;353,0081394
1027249;2; ;1;2;1;1;1;3;1;6;3;1;290,5462143
1027250;2; ;1;2;1;1;1;2;1;6;3;1;278,3118703
1027251;1; ;1;2;1;1;1;3;1;6;3;1;247,3686696
1027252;2; ;1;2;1;1;1;3;1;6;3;1;313,465455
1027425;1; ;1;2;1;1;1;3;1;7;5;1;269,9686465
1027426;1; ;1;2;1;1;1;3;1;7;5;1;295,3525381
1027427;1; ;1;2;1;1;1;3;1;7;5;1;206,0799315
1027429;1; ;1;2;1;1;1;3;1;7;5;1;323,9615927
1027430;1; ;1;2;1;1;1;3;1;7;5;1;245,9352319
1027431;1; ;1;2;1;1;1;3;1;7;5;1;217,741639
1027432;1; ;1;2;1;1;1;3;1;7;5;1;246,1429627
1027433;1; ;1;2;1;1;1;3;1;6;5;1;152,8239784
1027435;1; ;1;3;1;1;1;3;1;7;5;1;266,3861306
1027436;2; ;1;3;1;1;1;3;1;7;5;1;223,3216696
1027449;2; ;1;3;1;1;1;3;1;2;5;1;1128,973608
1027450;2; ;1;3;1;1;1;3;1;4;5;1;384,3527024
1027452;2; ;1;2;1;1;1;3;2;2;2;1;401,9626676
1027453;1; ;1;3;1;1;1;3;1;2;5;1;817,8134988
1027455;2; ;1;2;1;1;1;2;2;3;2;1;376,4391625
1027456;1; ;1;2;1;1;1;2;1;3;2;1;320,1350293
1027457;1; ;1;2;1;1;1;2;2;3;2;1;613,0855548
1027461;2; ;1;2;1;1;1;2;2;3;2;1;377,8109799
1027462;1; ;1;3;1;1;1;3;1;3;5;1;872,725322
1027464;1; ;1;2;1;1;1;2;2;3;2;1;344,6636626
1027467;2; ;1;2;2;1;1;2;1;3;2;1;501,7014733
1027468;1; ;1;2;1;1;1;2;2;4;2;1;321,5899446
1027470;2; ;1;3;1;1;1;3;1;4;5;1;384,0286039
1027471;2; ;1;2;1;1;1;2;2;4;2;1;572,0421704
1027474;2; ;1;3;1;1;1;3;1;4;5;1;538,7406857
1027475;2; ;1;2;1;1;1;3;1;4;5;1;472,1394694
1027476;2; ;1;2;1;1;1;3;1;4;2;1;326,9931763
1027478;3; ;1;2;1;1;1;2;1;4;2;1;569,9805809
1027479;2; ;1;3;1;1;1;3;1;4;5;1;304,9892711
1027480;2; ;1;2;1;2;1;3;2;4;6;1;8,3694132
1027481;2; ;1;2;1;1;1;3;2;6;6;1;18,16231326
1027482;2; ;1;3;1;1;1;3;1;4;5;1;394,2601173
1027483;2; ;1;3;1;1;1;3;1;4;5;1;408,1080892
1027484;2; ;1;3;1;1;1;3;1;4;5;1;518,5330711
1027485;2; ;1;3;1;1;1;3;2;5;5;1;365,7868248
1027486;2; ;1;2;1;1;1;3;1;5;5;1;410,9742168
1027487;2; ;1;3;1;1;1;3;1;5;5;1;410,9742168
1027488;2; ;1;3;1;1;1;3;1;5;5;1;376,9357034
1027489;2; ;1;3;1;1;1;3;1;5;5;1;489,6798061
1027491;2; ;1;3;1;1;1;3;1;5;5;1;363,8165721
1027492;2; ;1;1;1;1;1;3;1;5;1;1;431,7918126
1027493;1; ;1;2;1;1;1;2;1;5;1;1;376,4193532
1027495;1; ;1;2;1;1;1;2;2;5;2;1;422,984607
1027498;2; ;1;2;1;1;1;2;2;5;2;1;290,5859991
1027500;1; ;1;3;1;1;1;3;1;5;5;1;410,9742168
1027501;2; ;1;2;2;2;1;7;2;8;6;1;13,04583481
1027502;1; ;1;3;1;1;1;3;1;5;5;1;436,5517779
1027503;2; ;1;3;1;1;1;3;1;5;5;1;411,2812575
1027504;2; ;1;2;1;1;1;3;1;5;5;1;447,2900236
1027505;2; ;1;3;1;1;1;3;1;5;5;1;373,5095849
